nest_number,year,post_number,location_description,discovery_date,eggs_at_discovery,total_eggs,nest_fate,failure_cause,expected_hatch_date,actual_hatch_date,eggs_hatched,chicks_fledged,longitude,latitude,notes1,notes2,notes3
49,2004,177,east; sand/rock,4/5/04,unconfirmed,3,predator - crow,crow,.,5/4/04,0,0,no GPS recorded,no GPS recorded,Kendy saw crow on May 4,rock on flat sand,
50,2004,400,west; sand/kelp,4/8/04,unconfirmed,3,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,washed by tide on 4/9.04 but it is OK. Lots of human footprint (10 people) from pond trail through nest. Washed again 4/3/04 lost eggs. .,,
51,2004,26,east; sand/kelp,4/8/04,unconfirmed,3,predator - crow,crow,.,1/1/04,0,0,no GPS recorded,no GPS recorded,eaten sometime in affternoon may 6.  Fottprint size of crow but no toe.,,
52,2004,223,east; sand/rock,4/10/04,unconfirmed,3,predator - crow,crow,.,5/4/04,0,0,no GPS recorded,no GPS recorded,"Crows seen by docent /footprints, May 4",near slough edge/east of spray can,
53,2004,129,east; sand/plant/rock,4/10/04,unconfirmed,3,hatched,,.,5/5/04,3,2,no GPS recorded,no GPS recorded,,green plant,
54,2004,322,west; kelp,4/13/04,unconfirmed,3,hatched,,.,5/13/04,1,0,no GPS recorded,no GPS recorded,"Eggs washed by tide and chick died 1st day, probably other plovers.",near tamarix,
55,2004,604,west; kelp,4/13/04,unconfirmed,3,hatched,,.,5/15/04,2,0,no GPS recorded,no GPS recorded,"Crow ate 1 egg on May 2. I scared crow from beach and it flew to the nest.  2 Crows came back several times for the other eggs but I scared them.  Nesting on euc pond trail.  Placed messh fence on May 3. Red Tail fottprint around cage, dog footprint on hatching day. Chick disapeared may 18.",,
56,2004,193,east; rock,4/13/04,unconfirmed,3,predator - raccoon,raccoon,.,.,0,0,no GPS recorded,no GPS recorded, Eaten 4/25 probably racoon footprints near).,artificial rock pile.,
57,2004,187,east; kelp,4/14/03,unconfirmed,3,hatched,,.,5/19/04,3,3,no GPS recorded,no GPS recorded,Chick disappeared on 6/20,in the midle of winter flock,
58,2004,211,east; rock,4/14/03,unconfirmed,3,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,abandoned after wind of 4/17/04,winter flock,
59,2004,230,east; rock,4/15/04,unconfirmed,3,predator - raccoon,raccoon,.,.,0,0,no GPS recorded,no GPS recorded,eaten 4/24 racoon footprints,west of spray can,
60,2004,180,east; rock,4/22/04,unconfirmed,3,predator - crow,crow,.,1/1/04,0,0,no GPS recorded,no GPS recorded,"eaten 5/7/bird with 3 fingers no toe, crow size",Behind tall log,
61,2004,178,east; kelp,4/22/04,unconfirmed,3,predator - crow,crow,.,1/1/04,0,0,no GPS recorded,no GPS recorded,eaten 5/7 by crow,East of tall log,
62,2004,151,east; rock,4/26/04,unconfirmed,3,hatched,,.,5/28/04,3,1,no GPS recorded,no GPS recorded,RT Hawk attachek at hatching day but Melissa scared. Chick disapeared on 6/14. 2nd chick disapeared on night of 6/27-Skunk,"Near chair, rocks",
63,2004,5,east,4/26/04,unconfirmed,3,abandoned,abandoned,.,1/1/04,0,0,no GPS recorded,no GPS recorded,"female abandoned nest on May 17, Monday.  Maybe because of high beach use on the weekend.  Female was still around nest but did not incubate.",Very tame female,
64,2004,536,west; kelp,4/27/04,unconfirmed,2,predator - crow,crow,.,1/1/04,0,0,no GPS recorded,no GPS recorded,eaten 4/30 crow,pond trail,
65,2004,168,east; kelp,5/3/04,unconfirmed,2,predator - crow,crow,.,1/1/04,0,0,no GPS recorded,no GPS recorded,Crow May 4. Kendy saw it.,visible,
66,2004,97,east; kelp,5/3/04,unconfirmed,3,hatched,,.,5/4/04,1,1,no GPS recorded,no GPS recorded,RT made a dive on 6/4 but Terri scared him. 2 infertile eggs,Lump kelp,
67,2004,202,east; plastic,5/5/04,unconfirmed,2,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,same nest as 43,plastic,
68,2004,80,east; rock/shell,5/7/04,unconfirmed,3,hatched,,.,6/11/04,2,2,no GPS recorded,no GPS recorded,,shell,
69,2004,179,east; rock,5/9/04,unconfirmed,1,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,cannot find egg after wind.,,
70,2004,27,east; rock,5/11/04,unconfirmed,2,hatched,,.,6/19/04,2,0,no GPS recorded,no GPS recorded,1 egg was buried 5/11 by wind.  I unburied and we will see if it is accepted. Adult continued to visit nest May 21. No more eggs laid. May 22 2 eggs. Chicks disapeared on 6/19/04,covered egg,
71,2004,307,west; sand/kelp,5/18/04,unconfirmed,2,hatched,,.,6/14/04,2,1,no GPS recorded,no GPS recorded,racoon tracks. 1 chick disapeared on 6/15. Another chick adopted by # 73 and fledged,slough mouth,
72,2004,156,east; sand/plant,5/19/04,unconfirmed,3,hatched,,.,6/14/04,2,1,no GPS recorded,no GPS recorded,RT attacked 6/14. Scared it. 1 infertile egg. 1 chick eaten Red Tail 6/22,plants,
73,2004,173,east; rock,5/19/04,unconfirmed,3,hatched,,.,6/15/04,2,2,no GPS recorded,no GPS recorded,1 egg abandoned after 12 hrs. Infertile. Adopted 1 chick from 71,flat rock,
74,2004,207,east; kelp,5/19/04,unconfirmed,3,hatched,,.,6/15/04,2,2,no GPS recorded,no GPS recorded,1 egg cracked after high tide on 6/1,kelp,
75,2004,371,west; kelp,5/20/04,unconfirmed,3,hatched,,.,6/17/04,2,0,no GPS recorded,no GPS recorded,"1 egg infertile, adopted 1chick from 76. Lost 1 chick 7/4 and 1 chick 7/5.",pole/lump of kelp,
76,2004,445,west; kelp,5/20/04,unconfirmed,3,hatched,,.,.,1,1,no GPS recorded,no GPS recorded,"High tide on 6/1 wahed nest with barricade. Elevated nest but she did not return after 30 minutes. F on nest next day. Washed June4.  chick adopted by nest 75, fledged",high tide,
77,2004,237,east; rock,5/29/04,unconfirmed,3,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,Washed June4. Tide 6.7,square rock,
78,2004,203,east; rock,5/28/04,unconfirmed,3,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,Washed June4,least tern,
79,2004,226,rock bed,5/29/04,0,0,no data,,.,.,0,0,no GPS recorded,no GPS recorded,saw birdscraping on 5/30 and  sitting on 5/29 and 6/1 but no eggs by 6/18,rock bed,
80,2004,434,west; kelp,5/30/04,unconfirmed,3,hatched,,.,.,2,1,no GPS recorded,no GPS recorded,skunk ate chick 7/2/04. Traped 1 young skunk at location same night,behind high tide,
81,2004,189,east; rock,6/3/04,unconfirmed,3,predator - crow and skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,gulls flew from wet sand because of 2 leashed dogs and flew to plover area. Crows seen. Ate 2 eggs. Last egg eaten 6/27 by skunk,finger sticks,
82,2004,573,west; kelp,6/4/04,unconfirmed,3,hatched,,.,6/25/04,3,0,no GPS recorded,no GPS recorded,all 3 chicks eaten 7/6 at pond trail ,pink flag,
83,2004,65,east,6/9/04,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,nest eaten on night before 6/30/2004,board,
84,2004,234,east; kelp,6/10/04,unconfirmed,2,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,nest eaten on night before 6/27/2004,terns,
85,2004,257,east,6/15/04,unconfirmed,2,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,nest eaten on night before6/27/2004,yellow stick,
86,2004,215,east; kelp,6/15/04,unconfirmed,2,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,nest eaten on night before 6/27/2004,Kelp/orange rock,
87,2004,453,west,6/17/04,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,nest eaten on night before 6/30/2004,high tide2,
88,2004,,west; kelp,6/18/04,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,nest eaten on affternoon of 6/26,white log/pole,
89,2004,545,west; kelp,6/26/04,unconfirmed,1,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,nest eaten on night before 6/27/2004,,
90,2004,26,east; kelp,6/28/04,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,male incubating with 2 eggs then female incubating after 3rd was laid. Eaten by skunk on night before 7/3/04,,
91,2004,236,east,7/4/04,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,Shake away 7/7. Caged on 7/21 Reed. Eaten 7/27 Skunk,,
92,2004,192,east,7/7/04,unconfirmed,3,hatched,,.,,3,3,no GPS recorded,no GPS recorded,Caged on 7/21 Reed. Inconsistent incubation 7/31.," 7/4, 7/7 Shake away",
93,2005,,back fence,3/18/05,unconfirmed,3,hatched,,.,.,3,0,no GPS recorded,no GPS recorded,lost 2 chicks 4/27 and 1 on 4/28. 4/28 crow,"Caged 3/19/05 when crows landed on beach, 2 eggs. ",29
94,2005,,charcoal ,4/4/05,unconfirmed,3,hatched,,.,.,3,2,no GPS recorded,no GPS recorded,Lost chcik on May 16 Unk,Caged 4/4/05,
95,2005,,orange stick,4/4/05,unconfirmed,2,abandoned,abandoned,.,.,0,0,no GPS recorded,no GPS recorded,"1 inviable, 1 abnd",Caged 4/4/05,
96,2005,,open sand,4/4/05,unconfirmed,1,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,,Caged 4/4/05,
97,2005,,pond trail,4/9/05,unconfirmed,3,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,,"Caged 4/9/05, abandoned 4/27, 2 eggs were buried on 4/24",
98,2005,323,slough mouth,4/18/05,unconfirmed,3,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,,"Caged 4/18/05, tide, may 7",
99,2005,53,dried cakile,4/18/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"Caged 4/18/05, skunk, May 3",
100,2005,,under log,4/18/05,unconfirmed,3,predator - crow,crow,.,.,0,0,no GPS recorded,no GPS recorded,,uncaged eaten may 3,
101,2005,155,last sign,4/20/05,unconfirmed,3,predator - crow,crow,.,.,0,0,no GPS recorded,no GPS recorded,,uncaged eaten 4/21,
102,2005,155,2 bambus,4/21/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 4/21/05,  eaten May 6",
103,2005,137,laying tree,4/21/05,unconfirmed,2,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 4/21/05, skunk, May 3",
104,2005,367,tamarix,4/22/05,unconfirmed,3,abandoned,abandoned,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 4/22, Abandoned collected 1 egg 5/18",
105,2005,132,board,4/23/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 4/23, skunk, May 3",
106,2005,252,old cage,4/27/05,unconfirmed,2,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 4/27, skunk may 21",
107,2005,239,near old cage,4/27/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 4/27, skunk May 6",
108,2005,Delta 1,.,4/24/05,unconfirmed,3,flooded,flooded,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 4/24, Flooded, May 5",
109,2005,Delta 2,.,4/24/05,unconfirmed,3,flooded,flooded,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 4/24, Flooded, May 5 Collected 2 eggs",
110,2005,Delta 3,abandoned (never seen parents),4/24/05,unconfirmed,2,flooded,flooded,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 4/24, Abandoned April 24. Collected 1 egg",
111,2005,195,.,4/28/05,unconfirmed,1,predator - crow,crow,.,.,0,0,no GPS recorded,no GPS recorded,,"uncaged, eaten 4/28",
112,2005,187,.,5/4/05,unconfirmed,3,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/4, tide, may 7",
113,2005,630,tar bambu,5/10/05,unconfirmed,3,hatched,,.,.,3,0,no GPS recorded,no GPS recorded,"chicks disappeared, owl footprints","caged 5/10, Unknown, 6/6",
114,2005,453,cakile,5/10/05,unconfirmed,3,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/10, abandoned wind 6/6. Colelcted 3 eggs 6/7",
115,2005,433,log 2,5/10/05,unconfirmed,3,hatched,,.,.,1,1,no GPS recorded,no GPS recorded,,"caged 5/10, 1 infertile",
116,2005,58,Steve's,5/11/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged, 5/11, Skunk, may 14",
117,2005,128,"board 2, layed inside empty cage",5/12/05,unconfirmed,2,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/12, Skunk, may 14",
118,2005,163,rocks,5/13/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/13, Skunk, may 14",
119,2005,78,.,5/14/05,unconfirmed,1,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/14, Skunk, may 14",
120,2005,109,.,5/14/05,unconfirmed,1,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/14, Skunk, may 14",
121,2005,201,.,5/14/05,unconfirmed,2,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/14, Skunk, may 14",
122,2005,242,.,5/14/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/14, skunk may 21, 1 egg washed 5/21-collected",
123,2005,560,close to fence,5/14/05,unconfirmed,3,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/14, washed 5/21 collected 3 eggs",
124,2005,663,end of board,5/14/05,unconfirmed,3,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/14, washed 5/21, collected 2 eggs",
125,2005,220,.,5/15/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/15, skunk may 21",
126,2005,215,back stick,5/17/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/17, skunk may 21",
127,2005,295,slough2,5/18/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/18, skunk may 21",
128,2005,688,Arundo,5/19/05,unconfirmed,3,abandoned,abandoned,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/19, abandoned, 3 eggs collected 6/10",
129,2005,278,tall stick,5/19/05,unconfirmed,1,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/19, skunk may 21",
130,2005,147,laying tree 2,5/20/05,unconfirmed,3,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/20, Wind 6/18",
131,2005,110,near crow,5/20/05,unconfirmed,2,predator - raccoon,raccoon,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/20, Racoonn 6/1",
132,2005,187,board,5/23/05,unconfirmed,3,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/23, Wind 6/18",
133,2005,193,under stick,5/23/05,unconfirmed,1,abandoned,abandoned,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/23, abandoned 1 egg collected 6/6",
134,2005,93,rope knot,5/23/05,unconfirmed,1,abandoned,abandoned,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/23, abandoned , collected 1 egg 5/30",
135,2005,85,next to rope,5/28/05,unconfirmed,3,hatched,,.,.,3,3,no GPS recorded,no GPS recorded,,caged 5/28,
136,2005,45,cakile 3,5/30/05,unconfirmed,3,predator - opossum,,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 5/30, racoon or possum",
137,2005,,salt grass,5/30/05,unconfirmed,2,hatched,,.,.,2,2,no GPS recorded,no GPS recorded,,caged 5/30,
138,2005,187,.,6/3/05,unconfirmed,3,abandoned,abandoned,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 6/3, abandoned, 3 eggs collected 6/10",
139,2005,533,back slough,6/3/05,unconfirmed,3,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 6/3, Wind 6/8",
140,2005,30,W pond trail,6/7/05,unconfirmed,3,hatched,,.,.,2,2,no GPS recorded,no GPS recorded,,caged 6/7,
141,2005,75,.,6/7/05,unconfirmed,3,hatched,,.,.,3,3,no GPS recorded,no GPS recorded,,caged 6/7,
142,2005,485,.,6/7/05,unconfirmed,2,abandoned,abandoned,.,.,0,0,no GPS recorded,no GPS recorded,,"caged  6/7, Great horned Owl 6/14, abandoned, collected 2 eggs 6/14",
143,2005,605,E pond trail,6/10/05,unconfirmed,2,abandoned,abandoned,.,.,0,0,no GPS recorded,no GPS recorded,,"caged 6/10, abandoned, collected 3 eggs 6/27",
144,2005,245,white rock,6/12/05,unconfirmed,3,abandoned,abandoned,.,.,0,0,no GPS recorded,no GPS recorded,,"abandoned , collected 3 egg 7/3",
145,2005,50,saltbush,6/12/05,unconfirmed,3,hatched,,.,.,3,3,no GPS recorded,no GPS recorded,,,
146,2005,247,.,6/14/05,unconfirmed,2,hatched,,.,.,3,3,no GPS recorded,no GPS recorded,,,
147,2005,107,.,6/18/05,unconfirmed,3,hatched,,.,.,2,2,no GPS recorded,no GPS recorded,,,
148,2005,157,.,6/18/05,unconfirmed,3,predator - skunk,skunk,.,.,0,0,no GPS recorded,no GPS recorded,skunk 7/8,,
149,2005,127,.,6/19/05,unconfirmed,3,hatched,,.,.,3,2,no GPS recorded,no GPS recorded,,,
150,2005,slough4,.,6/22/05,unconfirmed,3,unknown fate,,.,.,.,.,no GPS recorded,no GPS recorded,,,
151,2005,403,.,6/27/05,unconfirmed,3,predator - unknown,unknown,.,.,0,0,no GPS recorded,no GPS recorded,,,
152,2005,223,.,7/3/05,unconfirmed,3,hatched,,.,.,2,1,no GPS recorded,no GPS recorded,,,
153,2005,207,.,7/15/05,unconfirmed,3,hatched,,.,.,2,.,no GPS recorded,no GPS recorded,,"3 egg washed 7/22, 2 returned 7/22, 1 returned 7/28",
154,2005,290,.,7/12/05,unconfirmed,3,hatched,,.,.,3,3,no GPS recorded,no GPS recorded,,,
155,2005,165,.,7/19/05,unconfirmed,3,tide,tide,.,.,0,0,no GPS recorded,no GPS recorded,,"washed 7/22, 1 left, abandoned 8/4",
156,2005,.,.,.,unconfirmed,3,hatched,,.,.,2,2,no GPS recorded,no GPS recorded,,1 egg infertile,
157,2006,123,back,3/15/06,1,3,unknown fate,,4/14/06,.,0,0,no GPS recorded,no GPS recorded,infertile?,caged at discovery,
158,2006,297,slough edge,4/7/06,1,3,no data,,5/7/06,5/11/06,3,2,no GPS recorded,no GPS recorded,"OK, Owl 5/6.","caged at discovery, uncaged 5/6",
159,2006,20,sands entrance,4/7/06,1,3,hatched,,5/7/06,5/13/06,3,2,no GPS recorded,no GPS recorded,,"caged at discovery, uncaged 5/6",
160,2006,.,west end,4/15/06,1,1,wind,wind,5/15/06,.,0,0,no GPS recorded,no GPS recorded,,"caged at discovery, uncaged 5/6",
161,2006,.,hidden sticks (moved 3 eggs on 4/30 to nest 157. Nests with 5 eggs.,4/15/06,3,3,abandoned - owl,owl,5/15/06,.,0,0,no GPS recorded,no GPS recorded,"Owl abandoned 4/29 - prints, feathers","caged at discovery, uncaged 5/6",
162,2006,.,orange tube,4/15/06,3,3,abandoned - owl,owl,5/15/06,5/16/06,0,0,no GPS recorded,no GPS recorded,Owl abandoned 5/3/06. Collected May 4?,caged at discovery,"nursery nest , 3 hatched"
163,2006,93,board,4/15/06,2,3,abandoned - owl,owl,5/15/06,5/18/06,0,0,no GPS recorded,no GPS recorded,Owl abandoned may 6. Colelcted May 7 ,caged at discovery,"nursery nest , 3 hatched"
164,2006,170,pole by fence,4/16/06,1,3,abandoned - owl,owl,5/16/06,5/25/06,0,0,no GPS recorded,no GPS recorded,Owl abandoned may 6. Colelcted May 7 ,caged at discovery,"nursery nest, 2 hatched 1 fledged"
165,2006,230,hidden,4/16/06,3,3,hatched,,5/16/06,5/16/06,3,1,no GPS recorded,no GPS recorded,,"caged at discovery, uncaged 5/6",
166,2006,.,sand hill,4/18/06,3,3,abandoned - owl,owl,5/18/06,.,0,0,no GPS recorded,no GPS recorded,"Owl abandoned 4/26 - prints, feathers","caged at discovery, uncaged 5/6",
167,2006,63,charcoal and gravel,4/19/06,3,3,hatched,,5/19/06,5/15/06,3,.,no GPS recorded,no GPS recorded,"OK Owl, tail feathers stepped on by trespasser, cold may 18, collectedmay 19","caged at discovery, uncaged 5/6",
